Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL137635,,10926736,FALSE,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12
CHEMBL115665,,44342104,FALSE,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21
CHEMBL114758,,10405313,FALSE,COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1
CHEMBL115302,,10452276,FALSE,Cc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(Br)c1
CHEMBL325261,,44341991,FALSE,Cc1ccccc1/N=C1/C(=O)c2cncnc2C(O)=C1Cl
CHEMBL135592,,11055442,FALSE,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL53463,DOXORUBICIN,31703,TRUE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
CHEMBL414445,,10350573,FALSE,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCNCCN1C(=O)c2cccc3cccc(c23)C1=O
CHEMBL297053,,5287720,FALSE,CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1
CHEMBL116056,,44342288,FALSE,CCc1ccccc1/N=C1/C(=O)c2cncnc2C(O)=C1Cl
CHEMBL136491,,10245856,FALSE,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL336113,,10220590,FALSE,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1
CHEMBL133024,,9818251,FALSE,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL344652,,11012217,FALSE,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL114301,,44342161,FALSE,CCc1ccc(NC2=C(Cl)C(=O)c3ncncc3C2=O)cc1
CHEMBL325088,,44342018,FALSE,O=C1C(Nc2ccccc2Br)=C(Cl)C(=O)c2ncncc21
CHEMBL138125,,10938977,FALSE,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1
CHEMBL137364,,10276061,FALSE,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1
CHEMBL115379,,44342008,FALSE,O=C1C(Nc2ccc3c(c2)OCO3)=C(Cl)C(=O)c2ncncc21
CHEMBL332096,,5328028,FALSE,Nc1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL136492,,10868706,FALSE,CN(c1ccccc1)c1ncnc2ccc(N)cc12
CHEMBL343352,,11807783,FALSE,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL325431,,44342027,FALSE,Cc1ccc(NC2=C(Cl)C(=O)c3ncncc3C2=O)cc1C
CHEMBL52765,,5328042,FALSE,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL116112,,44342289,FALSE,Cc1ccc(NC2=C(Cl)C(=O)c3ncncc3C2=O)cc1
CHEMBL113790,,44342028,FALSE,Cc1cccc(NC2=C(Cl)C(=O)c3ncncc3C2=O)c1
CHEMBL114321,,44342054,FALSE,O=C1C(Nc2cccc(Cl)c2)=C(Cl)C(=O)c2ncncc21
CHEMBL134312,,10992313,FALSE,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL114602,,44341973,FALSE,O=C1C(Nc2ccccc2)=C(Cl)C(=O)c2ncncc21
CHEMBL123,ELLIPTECINE,3213,FALSE,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
CHEMBL137189,,9882519,FALSE,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1
CHEMBL137617,,9885081,FALSE,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL137027,,11822927,FALSE,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL137534,,10905749,FALSE,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL137788,,10902421,FALSE,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL424093,,11080556,FALSE,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1
CHEMBL115117,,44342274,FALSE,O=C1C(Nc2cccc(Br)c2)=C(Cl)C(=O)c2ncncc21
CHEMBL133023,,10870494,FALSE,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1
CHEMBL326549,,44342055,FALSE,CCOc1ccccc1/N=C1/C(=O)c2cncnc2C(O)=C1Cl
CHEMBL136674,,10222656,FALSE,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL85471,,392062,FALSE,COc1ccc2c(c1)c(=O)c1c(NCCN(C)C)ccc3c(=O)n(CCN(C)C)c(=O)n2c31
CHEMBL165891,,13006052,FALSE,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4CC(=O)c5c(cc(OC(C)=O)c(OC(C)=O)c5C=O)[C@]4(C)CC[C@@]3(C)C2C1
CHEMBL432951,,135462408,FALSE,CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4cc(O)c(O)cc4c(=O)c1c23
CHEMBL83620,,394870,FALSE,CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc([N+](=O)[O-])cc4c(=O)c1c23
