GDSC_Drug,Entrez_ID,Ki_nM,source_rows,pAffinity,drug_idx,gene_idx
10113978,771,0.9,1,9.045757490560677,82,75
10113978,759,12.0,1,7.920818753952375,82,67
10113978,760,32.0,1,7.494850021680094,82,68
10113978,3815,6500.0,1,5.187086643357144,82,355
10113978,3718,6900000.0,1,2.1611509092627443,82,348
10113978,768,9.1,1,8.040958607678906,82,74
10172943,207,0.16,2,9.795880017344077,83,23
1018,206358,18000000.0,1,1.7447274948966935,1,1126
10184653,1956,22.825,1,7.641589213793663,84,186
10200390,6850,7.5,1,8.1249387366083,85,635
10302451,9088,2620.0,1,5.581698708680254,86,769
104741,2099,1.04,1,8.98296666070122,24,216
104741,2053,26.0,1,7.585026652029182,24,209
104741,2100,1.39,1,8.856985199745905,24,217
104842,1576,26000.0,1,4.585026652029182,25,159
11152667,1111,3.6,1,8.443697499232712,87,116
11228183,596,4.5,1,8.346787486224656,88,49
11228183,598,30.0,1,7.522878745280337,88,51
11228183,4170,20800.0,1,4.681936665037238,88,379
11228183,599,285.0,1,6.54515513999149,88,52
11228183,572,0.6,1,9.221848749616356,88,47
11234052,2321,60.0,1,7.221848749616356,89,252
11234052,3791,26.0,1,7.585026652029182,89,354
11327430,5591,0.65,1,9.187086643357144,90,512
11338033,983,190.0,2,6.721246399047171,91,104
11338033,1019,67.0,1,7.173925197299173,91,108
11338033,1017,47.0,3,7.327902142064282,91,106
11338033,902,2800.0,1,5.552841968657781,91,100
11338033,8851,18.0,1,7.744727494896693,91,758
11364421,23476,56.0,1,7.251811972993799,92,918
11364421,5347,1.61,1,8.79317412396815,92,479
11404337,596,655.0,1,6.183758700008217,93,49
11404337,134,5000.0,1,5.301029995663981,93,14
11404337,598,4690.0,1,5.328827157284916,93,51
11404337,4170,1500.0,1,5.823908740944319,93,379
11404337,597,1000.0,1,6.0,93,50
11404337,599,4005.0,1,5.397397479579744,93,52
11404337,572,1000.0,1,6.0,93,47
11404337,10017,1000.0,1,6.0,93,820
11433190,4194,35299.5,1,4.452231446135658,94,383
11433190,4193,90.0,1,7.045757490560675,94,382
11455910,596,290.0,1,6.537602002101044,95,49
11455910,598,1110.0,1,5.954677021213342,95,51
11455910,4170,260.0,1,6.585026652029182,95,379
11485656,3815,3800.0,1,5.42021640338319,96,355
11493598,5595,310.0,1,6.508638306165727,97,516
11493598,5594,310.0,1,6.508638306165727,97,515
11493598,1432,310.0,1,6.508638306165727,97,137
11624601,5599,2.0,1,8.698970004336019,98,520
11624601,5601,4.0,1,8.397940008672037,98,522
11624601,5602,52.0,1,7.2839966563652,98,523
11626560,4233,14.0,1,7.853871964321762,99,388
11626560,6098,5.8,1,8.236572006437063,99,580
11626560,238,8.2,1,8.086186147616283,99,28
11634725,6790,540.0,1,6.267606240177031,100,630
11634725,1017,852.0,1,6.0695604052333,100,106
11634725,2932,395.0,1,6.403402904373539,100,289
11655119,7046,38.0,1,7.42021640338319,101,644
11655119,7048,300.0,1,6.522878745280337,101,645
11667893,3815,13000.0,1,4.886056647693163,102,355
11667893,3791,3.0,1,8.522878745280337,102,354
11667893,440275,4400000.0,1,2.356547323513812,102,1152
117072552,10419,6.45,1,8.190440285364732,160,841
11713159,1576,12000.0,1,4.920818753952375,103,159
11713159,5747,9.3,1,8.031517051446064,103,551
11713159,2185,1.5,1,8.823908740944319,103,230
11719003,5594,0.04,1,10.397940008672036,104,515
118693659,23476,88.0,1,7.055517327849831,161,918
118693659,6872,1259.0,1,5.899974269892137,161,636
118693659,6046,175.5,1,6.7557228791981565,161,574
118693659,8019,230.5,1,6.637329070274333,161,700
118693659,676,300.5,1,6.522155523661242,161,63
118693659,138474,2512.0,1,5.599980364934842,161,1106
118693659,1387,6310.0,1,5.199970640755866,161,136
118693659,65980,2512.0,1,5.599980364934842,161,1051
11960529,142,5.1,1,8.292429823902063,105,16
11960529,10038,2.9,1,8.537602002101044,105,821
11977753,2475,2.1,1,8.67778070526608,106,262
123631,1956,6.4,1,8.193820026016112,26,186
123631,3815,4300000.0,1,2.366531544420414,26,355
124886,2739,955000.0,1,3.019996628416253,27,273
126941,1719,0.01,1,11.0,28,175
126941,7298,600.0,1,6.221848749616356,28,668
126941,2539,91000.0,1,4.040958607678906,28,265
126941,471,880.0,1,6.055517327849831,28,39
126941,6472,98000.0,1,4.008773924307505,28,600
126941,6573,3500.0,1,5.455931955649724,28,607
