gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
0,16,309,3295,684.0,0.684
0,16,325,3376,642.0,0.642
0,16,556,5859,567.0,0.567
0,16,698,7965,695.0,0.695
0,16,975,51520,562.0,0.562
1,25,2,27,976.0,0.976
1,25,40,472,656.0,0.656
1,25,54,613,944.0,0.944
1,25,109,1020,880.0,0.88
1,25,137,1432,499.0,0.499
1,25,186,1956,523.0,0.523
1,25,199,2042,449.0,0.449
1,25,201,2044,613.0,0.613
1,25,205,2048,447.0,0.447
1,25,211,2064,457.0,0.457
1,25,213,2066,421.0,0.421
1,25,245,2268,504.0,0.504
1,25,264,2534,930.0,0.93
1,25,278,2810,462.0,0.462
1,25,285,2885,981.0,0.981
1,25,295,3055,457.0,0.457
1,25,315,3320,891.0,0.891
1,25,316,3326,801.0,0.801
1,25,339,3636,599.0,0.599
1,25,382,4193,518.0,0.518
1,25,424,4914,943.0,0.943
1,25,425,4915,900.0,0.9
1,25,426,4916,900.0,0.9
1,25,434,5052,902.0,0.902
1,25,461,5289,932.0,0.932
1,25,462,5290,418.0,0.418
1,25,467,5295,457.0,0.457
1,25,502,5580,523.0,0.523
1,25,512,5591,641.0,0.641
1,25,515,5594,627.0,0.627
1,25,521,5600,499.0,0.499
1,25,540,5688,668.0,0.668
1,25,560,5888,793.0,0.793
1,25,566,5925,943.0,0.943
1,25,590,6300,499.0,0.499
1,25,614,6622,633.0,0.633
1,25,617,6654,524.0,0.524
1,25,618,6714,457.0,0.457
1,25,635,6850,525.0,0.525
1,25,654,7157,618.0,0.618
1,25,688,7529,462.0,0.462
1,25,689,7532,495.0,0.495
1,25,690,7533,509.0,0.509
1,25,691,7534,462.0,0.462
1,25,834,10298,618.0,0.618
1,25,867,10971,662.0,0.662
2,27,186,1956,523.0,0.523
2,27,211,2064,457.0,0.457
2,27,253,2322,630.0,0.63
2,27,285,2885,408.0,0.408
2,27,559,5879,563.0,0.563
2,27,625,6774,445.0,0.445
3,31,4,32,963.0,0.963
3,31,6,47,404.0,0.404
3,31,140,1452,422.0,0.422
3,31,326,3417,422.0,0.422
3,31,491,5562,420.0,0.42
4,32,6,47,429.0,0.429
4,32,309,3295,451.0,0.451
5,43,35,351,691.0,0.691
5,43,373,4129,555.0,0.555
5,43,403,4593,529.0,0.529
6,47,676,7415,417.0,0.417
6,47,891,22933,558.0,0.558
6,47,1101,120892,457.0,0.457
7,51,309,3295,953.0,0.953
8,52,187,1969,570.0,0.57
8,52,204,2047,568.0,0.568
8,52,205,2048,438.0,0.438
9,90,10,91,971.0,0.971
9,90,11,92,999.0,0.999
9,90,12,93,990.0,0.99
9,90,13,94,957.0,0.957
9,90,57,652,888.0,0.888
9,90,58,657,998.0,0.998
9,90,59,658,994.0,0.994
9,90,60,659,999.0,0.999
9,90,246,2280,996.0,0.996
9,90,247,2281,963.0,0.963
9,90,644,7046,957.0,0.957
9,90,645,7048,724.0,0.724
9,90,816,9978,414.0,0.414
10,91,11,92,995.0,0.995
10,91,12,93,999.0,0.999
10,91,28,238,567.0,0.567
10,91,34,331,400.0,0.4
10,91,57,652,511.0,0.511
10,91,58,657,469.0,0.469
10,91,59,658,519.0,0.519
10,91,60,659,552.0,0.552
10,91,246,2280,801.0,0.801
10,91,644,7046,987.0,0.987
10,91,645,7048,639.0,0.639
11,92,12,93,998.0,0.998
11,92,13,94,991.0,0.991
11,92,28,238,720.0,0.72
11,92,57,652,933.0,0.933
11,92,58,657,997.0,0.997
11,92,59,658,979.0,0.979
11,92,60,659,993.0,0.993
11,92,644,7046,982.0,0.982
12,93,13,94,934.0,0.934
12,93,57,652,754.0,0.754
12,93,58,657,992.0,0.992
12,93,59,658,966.0,0.966
12,93,60,659,944.0,0.944
