feature_idx,feature_name
0,2268
1,4800
2,1080
3,572
4,843
5,8837
6,7035
7,84254
8,5577
9,1387
10,5244
11,3683
12,5164
13,9020
14,6348
15,4293
16,5898
17,10083
18,6915
19,5048
20,4843
21,974
22,6401
23,27035
24,5689
25,57172
26,728642
27,9265
28,1407
29,8993
30,10747
31,51085
32,9031
33,7384
34,9918
35,920
36,695
37,2534
38,1634
39,8491
40,2556
41,672
42,51360
43,9971
44,240
45,11183
46,823
47,4190
48,637
49,3479
50,10928
51,1591
52,6591
53,972
54,3082
55,4361
56,9369
57,2554
58,9821
59,211
60,330
61,1244
62,10062
63,355
64,960
65,3459
66,7133
67,286
68,578
69,4593
70,2896
71,8554
72,5606
73,7414
74,8439
75,7077
76,5981
77,2324
78,7204
79,999
80,729
81,5685
82,1495
83,3309
84,395
85,9734
86,608
87,4254
88,3604
89,7984
90,51474
91,5733
92,5601
93,9564
94,5888
95,8574
96,3909
97,8454
98,5610
99,7185
100,2155
101,57504
102,29927
103,6916
104,2769
105,7478
106,10787
107,2983
108,1431
109,29924
110,841
111,4804
112,9170
113,9627
114,11218
115,2065
116,23013
117,6416
118,5588
119,4199
120,1496
121,1994
122,6602
123,4802
124,10565
125,2235
126,5214
127,6672
128,7132
129,387
130,5590
131,6093
132,9759
133,25885
134,5837
135,7049
136,5873
137,8518
138,8891
139,998
140,9448
141,6196
142,53615
143,29894
144,87
145,7037
146,6720
147,7224
148,7321
149,2213
150,4775
151,8517
152,4171
153,6389
154,6605
155,8647
156,5743
157,9175
158,8301
159,4905
160,2736
161,8726
162,7251
163,3785
164,8672
165,38
166,7479
167,2355
168,60
169,5337
170,1739
171,7879
172,4175
173,9138
174,5609
175,5915
176,7155
177,4660
178,2975
179,3566
180,5063
181,1641
182,6626
183,88
184,7319
185,4133
186,9063
187,8871
188,1906
189,7161
190,7520
191,8569
192,7145
193,4983
194,5236
195,9817
196,1361
197,5663
198,1371
199,3320
200,5933
201,1286
202,4208
203,5788
204,3595
205,5241
206,1741
207,4986
208,2932
209,7514
210,1833
211,2950
212,200081
213,8648
214,4216
215,5243
216,2017
217,2060
218,4998
219,27102
220,581
221,51701
222,4313
223,118
224,2778
225,6790
226,8544
227,2767
228,22974
229,2160
230,8655
231,8550
232,9962
233,4842
234,23193
235,332
236,645
237,10914
238,3383
239,11213
240,7066
241,3912
242,3568
243,2271
244,7018
245,23594
246,2099
247,1215
248,11198
249,7430
250,26523
251,7042
252,10013
253,990
254,4214
255,5742
256,1592
257,3589
258,1390
259,23411
260,3717
261,3594
262,25
263,51100
264,7593
265,997
266,8174
267,2872
268,5902
269,1399
270,6598
271,23523
272,6634
273,5594
274,27128
275,6576
276,7078
277,638
278,3162
279,4174
280,10454
281,1439
282,3560
283,9978
284,2033
285,5905
286,50
287,3002
288,5836
289,5684
290,1983
291,23405
292,9252
293,5693
294,7528
295,328
296,8106
297,394
298,4792
299,4776
300,2937
301,4318
302,958
303,4773
304,1477
305,655
306,5688
307,55738
308,551
309,994
310,1457
311,3055
312,57144
313,182
314,1869
315,4092
316,284217
317,5932
318,1478
319,331
320,2158
321,5931
322,2623
323,8411
324,959
325,7076
326,10673
327,5611
328,2321
329,8717
330,5595
331,10204
332,10664
333,8312
334,7249
335,4363
336,7329
337,29904
338,3163
339,9093
340,1445
341,23205
342,8766
343,8767
344,4683
345,3551
346,5327
347,5862
348,3574
349,10671
350,2936
351,4173
352,427
353,4125
354,11184
355,4793
356,6625
357,1158
358,56729
359,10270
360,898
361,2091
362,9149
363,23646
364,333
365,7040
366,973
367,945
368,7297
369,9266
370,2906
371,3718
372,5864
373,2931
374,1021
375,5294
376,4967
377,857
378,4233
379,10049
380,7434
381,6804
382,835
383,8976
384,5054
385,2146
386,2737
387,644
388,6009
389,51422
390,3984
391,7046
392,727
393,1759
394,8395
395,2889
396,1855
397,2625
398,6387
399,8661
400,5599
401,5532
402,657
403,8729
404,51684
405,1326
406,22943
407,5691
408,1440
409,3837
410,6198
411,5216
412,8402
413,3384
414,1655
415,9267
416,6347
417,2145
418,10014
419,8714
420,64750
421,5573
422,5608
423,5957
424,9368
425,2557
426,4790
427,5602
428,2549
429,3558
430,6649
431,55294
432,9693
433,10891
434,7704
435,6484
436,1374
437,595
438,1982
439,3587
440,329
441,867
442,921
443,8567
444,6404
445,10645
446,1594
447,8825
448,2735
449,59341
450,4633
451,3736
452,1027
453,397
454,1967
455,7421
456,3458
457,2597
458,7167
459,5777
460,5564
461,4121
462,5467
463,2178
464,1432
465,6648
466,3605
467,4172
468,653
469,9457
470,8936
471,2822
472,896
473,6908
474,6722
475,7422
476,3910
477,730
478,2690
479,3157
480,1839
