node_idx,old_node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
0,0,SIDM00940,ACH-000212,SIDM00940,CAL-120,CAL120,906826.0,CAL120_BREAST
1,1,SIDM00933,ACH-000856,SIDM00933,CAL-51,CAL51,910927.0,CAL51_BREAST
2,2,SIDM00797,ACH-000788,SIDM00797,A2058,A2058,906792.0,A2058_SKIN
3,3,SIDM00882,ACH-000277,SIDM00882,HCC1419,HCC1419,907045.0,HCC1419_BREAST
4,4,SIDM00890,ACH-000580,SIDM00890,C32,C32,906830.0,C32_SKIN
5,5,SIDM00676,ACH-000547,SIDM00676,HT-1197,HT1197,907065.0,HT1197_URINARY_TRACT
6,6,SIDM00529,ACH-000621,SIDM00529,MDA-MB-157,MDAMB157,925338.0,MDAMB157_BREAST
7,7,SIDM00225,ACH-002143,SIDM00225,IST-MEL1,ISTMEL1,907172.0,ISTMEL1_SKIN
8,8,SIDM00807,ACH-000905,SIDM00807,5637,5637,687452.0,5637_URINARY_TRACT
9,9,SIDM00125,ACH-000649,SIDM00125,786-O,786O,905947.0,786O_KIDNEY
10,10,SIDM00291,ACH-002040,SIDM00291,HMV-II,HMVII,,HMVII_SKIN
11,11,SIDM00136,ACH-000552,SIDM00136,HT-29,HT29,905939.0,HT29_LARGE_INTESTINE
12,12,SIDM00898,ACH-000248,SIDM00898,AU565,AU565,910704.0,AU565_BREAST
13,13,SIDM00925,ACH-000638,SIDM00925,NCI-H441,NCIH441,908460.0,NCIH441_LUNG
14,14,SIDM01155,ACH-000437,SIDM01155,SW 1088,SW1088,909745.0,SW1088_CENTRAL_NERVOUS_SYSTEM
15,15,SIDM00224,ACH-000569,SIDM00224,IST-MES1,ISTMES1,907173.0,ISTMES1_PLEURA
16,16,SIDM00783,ACH-000971,SIDM00783,HCT 116,HCT116,905936.0,HCT116_LARGE_INTESTINE
17,17,SIDM01027,ACH-000865,SIDM01027,KYSE-450,KYSE450,907320.0,KYSE450_OESOPHAGUS
18,18,SIDM00713,ACH-000153,SIDM00713,NCI-H2052,NCIH2052,688058.0,NCIH2052_PLEURA
19,19,SIDM00720,ACH-000648,SIDM00720,NCI-H28,NCIH28,908470.0,NCIH28_PLEURA
20,20,SIDM00718,ACH-000860,SIDM00718,NCI-H358,NCIH358,908465.0,NCIH358_LUNG
21,21,SIDM00490,ACH-001016,SIDM00490,Becker,BECKER,906746.0,BECKER_CENTRAL_NERVOUS_SYSTEM
22,22,SIDM01086,ACH-000874,SIDM01086,RS4;11,RS411,909703.0,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
23,23,SIDM01119,ACH-000775,SIDM01119,NCI-H727,NCIH727,724855.0,NCIH727_LUNG
24,24,SIDM00649,ACH-000510,SIDM00649,NCI-H1299,NCIH1299,724831.0,NCIH1299_LUNG
25,25,SIDM00515,ACH-000401,SIDM00515,COLO-800,COLO800,906813.0,COLO800_SKIN
26,26,SIDM01084,ACH-000410,SIDM01084,Saos-2,SAOS2,909707.0,SAOS2_BONE
27,27,SIDM01150,ACH-000416,SIDM01150,NCI-H838,NCIH838,910399.0,NCIH838_LUNG
28,28,SIDM00660,ACH-000985,SIDM00660,LS411N,LS411N,907794.0,LS411N_LARGE_INTESTINE
29,29,SIDM01090,ACH-000943,SIDM01090,RKO,RKO,909698.0,RKO_LARGE_INTESTINE
30,30,SIDM01087,ACH-000348,SIDM01087,RPMI-7951,RPMI7951,910903.0,RPMI7951_SKIN
31,31,SIDM01000,ACH-000304,SIDM01000,WM-115,WM115,909784.0,WM115_SKIN
32,32,SIDM00756,ACH-000886,SIDM00756,NCI-H2009,NCIH2009,724873.0,NCIH2009_LUNG
33,33,SIDM00888,ACH-000055,SIDM00888,D283 Med,D283MED,906834.0,D283MED_CENTRAL_NERVOUS_SYSTEM
34,34,SIDM00999,ACH-000973,SIDM00999,639-V,639V,906798.0,639V_URINARY_TRACT
35,35,SIDM00722,ACH-000092,SIDM00722,NCI-H2452,NCIH2452,908462.0,NCIH2452_PLEURA
36,36,SIDM00107,ACH-000425,SIDM00107,UACC-62,UACC62,905976.0,UACC62_SKIN
37,37,SIDM01001,ACH-000258,SIDM01001,Du4475,DU4475,906844.0,DU4475_BREAST
38,38,SIDM00394,ACH-001650,SIDM00394,SISO,SISO,1240212.0,SISO_CERVIX
39,39,SIDM00618,ACH-000620,SIDM00618,JHH-1,JHH1,1298151.0,JHH1_LIVER
40,40,SIDM00956,ACH-000717,SIDM00956,COLO-680N,COLO680N,906817.0,COLO680N_OESOPHAGUS
41,41,SIDM00538,ACH-001497,SIDM00538,ESO51,ESO51,1503367.0,ESO51_OESOPHAGUS
