node_idx,GDSC_Drug
0,864
1,1018
2,1401
3,2332
4,2375
5,3218
6,4212
7,4261
8,4993
9,5291
10,5311
11,5746
12,5978
13,6253
14,8249
15,9444
16,31703
17,36314
18,36462
19,44259
20,60838
21,68740
22,76044
23,82146
24,104741
25,104842
26,123631
27,124886
28,126941
29,148124
30,156414
31,156422
32,160355
33,176158
34,176870
35,208908
36,216239
37,216326
38,387447
39,442972
40,444732
41,444795
42,446378
43,446541
44,447912
45,462382
46,643462
47,644241
48,657237
49,992586
50,2733526
51,3062316
52,5113032
53,5278396
54,5280757
55,5284616
56,5287969
57,5328940
58,5329102
59,5330286
60,5494449
61,6445533
62,6445562
63,6450551
64,6505803
65,6852167
66,6914657
67,6918638
68,6918837
69,6918878
70,9549297
71,9810884
72,9813758
73,9826308
74,9868037
75,9884685
76,9903786
77,9908783
78,9910224
79,9911830
80,9933475
81,9936746
82,10113978
83,10172943
84,10184653
85,10200390
86,10302451
87,11152667
88,11228183
89,11234052
90,11327430
91,11338033
92,11364421
93,11404337
94,11433190
95,11455910
96,11485656
97,11493598
98,11624601
99,11626560
100,11634725
101,11655119
102,11667893
103,11713159
104,11719003
105,11960529
106,11977753
107,15953870
108,16722836
109,16725726
110,17755052
111,24180719
112,24753719
113,24771867
114,24772860
115,24776445
116,24821094
117,24826799
118,24856436
119,24889392
120,24958200
121,24978538
122,25099184
123,25102847
124,25124816
125,25126798
126,25254071
127,42642645
128,46006640
129,46224516
130,46843057
131,46885626
132,46893585
133,46907787
134,46926350
135,46943432
136,49806720
137,49846579
138,49850262
139,51000408
140,51001932
141,51371303
142,52912189
143,53315878
144,53340666
145,54761306
146,56941241
147,56962336
148,57339144
149,57345410
150,58423153
151,59472121
152,66577038
153,70676303
154,71297207
155,71496458
156,71522234
157,71576693
158,71748056
159,73707530
160,117072552
161,118693659
162,131634760
163,135421339
164,135423438
