node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
87,SIDM00809,ACH-001385,SIDM00809,RPMI 2650,RPMI2650,909700.0,RPMI2650_UPPER_AERODIGESTIVE_TRACT
121,SIDM01022,ACH-001129,SIDM01022,MONO-MAC-1,MONOMAC1,,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
168,SIDM00001,ACH-000405,SIDM00001,MEC-1,MEC1,,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
177,SIDM01151,ACH-000483,SIDM01151,SNU-182,SNU182,1240216.0,SNU182_LIVER
193,SIDM00639,ACH-000152,SIDM00639,M059K,M059K,,M059K_CENTRAL_NERVOUS_SYSTEM
209,SIDM00414,ACH-000545,SIDM00414,VM-CUB1,VMCUB1,909780.0,VMCUB1_URINARY_TRACT
223,SIDM00979,ACH-001239,SIDM00979,WM-266-4,WM2664,,WM2664_SKIN
224,SIDM00032,ACH-000839,SIDM00032,SCaBER,SCABER,,SCABER_URINARY_TRACT
234,SIDM01050,ACH-001494,SIDM01050,EGI-1,EGI1,906853.0,EGI1_BILIARY_TRACT
287,SIDM00072,ACH-000206,SIDM00072,C8166,C8166,,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
290,SIDM00071,ACH-000202,SIDM00071,COLO-320,COLO320,,COLO320_LARGE_INTESTINE
299,SIDM01063,ACH-000190,SIDM01063,HD-MY-Z,HDMYZ,907050.0,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
315,SIDM00027,ACH-001192,SIDM00027,SK-NEP-1,SKNEP1,,SKNEP1_BONE
323,SIDM00035,ACH-000037,SIDM00035,S-117,S117,,S117_THYROID
393,SIDM00073,ACH-001451,SIDM00073,BOKU,BOKU,,BOKU_CERVIX
408,SIDM00063,ACH-000632,SIDM00063,Hs 944.T,HS944T,,HS944T_SKIN
458,SIDM00775,ACH-000785,SIDM00775,NCI-H2126,NCIH2126,,NCIH2126_LUNG
476,SIDM00131,ACH-000329,SIDM00131,CCF-STTG1,CCFSTTG1,906823.0,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
486,SIDM00017,ACH-000912,SIDM00017,NCI-H2286,NCIH2286,,NCIH2286_LUNG
496,SIDM00960,ACH-000798,SIDM00960,CL-40,CL40,1240124.0,CL40_LARGE_INTESTINE
525,SIDM00069,ACH-002024,SIDM00069,ECC4,ECC4,,ECC4_LARGE_INTESTINE
528,SIDM00031,ACH-001643,SIDM00031,SCCH-196,SCCH196,,SCCH196_SOFT_TISSUE
569,SIDM00037,ACH-000961,SIDM00037,Ishikawa (Heraklio) 02 ER-,ISHIKAWAHERAKLIO02ER,,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM
587,SIDM00026,ACH-001670,SIDM00026,TASK1,TASK1,,TASK1_CENTRAL_NERVOUS_SYSTEM
