"Cell"	"Cell_BROAD"	"Cell_COSMIC"	"Drug"	"LN_IC50"
"SIDM01132"	"ACH-001711"	683667	24360	-1.46214784631576
"SIDM00848"	"ACH-000052"	684052	24360	-4.86944709616912
"SIDM00263"	"ACH-002106"	684057	24360	-3.36068394020373
"SIDM00269"	"ACH-002108"	684059	24360	-5.04501356506182
"SIDM00203"	"ACH-002111"	684062	24360	-3.74162040663655
"SIDM01111"	"ACH-000087"	684072	24360	-5.14301683093444
"SIDM00909"	"ACH-000644"	687448	24360	-1.23027712322741
"SIDM00807"	"ACH-000905"	687452	24360	-2.63181667736806
"SIDM01085"	"ACH-000242"	687455	24360	-2.96287504728348
"SIDM01160"	"ACH-000384"	687457	24360	-1.44705104299799
"SIDM01190"	"ACH-000720"	687459	24360	-2.34919964934083
"SIDM00889"	"ACH-001333"	687505	24360	-3.38050056581103
"SIDM00905"	"ACH-001334"	687506	24360	-2.25480770508864
"SIDM00627"	"ACH-001359"	687514	24360	-3.22333940707008
"SIDM00982"	"ACH-000323"	687561	24360	-3.3998973162176
"SIDM00998"	"ACH-000137"	687562	24360	-4.25632854199383
"SIDM00799"	"ACH-000558"	687563	24360	-2.99876159485604
"SIDM00581"	"ACH-000738"	687568	24360	-3.05417675165342
"SIDM01171"	"ACH-000571"	687586	24360	-2.05879447193176
"SIDM01193"	"ACH-000040"	687588	24360	-3.35305030056151
"SIDM01189"	"ACH-000075"	687590	24360	-2.44979741348216
"SIDM00315"	"ACH-000570"	687592	24360	-2.7837081335912
"SIDM00924"	"ACH-000867"	687596	24360	0.533854933085227
"SIDM01120"	"ACH-002174"	687600	24360	0.53536745286662
"SIDM00922"	"ACH-000392"	687777	24360	-1.62703818584697
"SIDM00512"	"ACH-000662"	687780	24360	-1.76034841443986
"SIDM00548"	"ACH-000769"	687787	24360	-1.15632364239648
"SIDM00734"	"ACH-000589"	687794	24360	-1.8386613413805
"SIDM00747"	"ACH-000744"	687798	24360	-4.13566726111365
"SIDM00746"	"ACH-000766"	687799	24360	-1.96104437475995
"SIDM00745"	"ACH-000035"	687800	24360	0.137554071081197
"SIDM00742"	"ACH-000021"	687802	24360	0.129242092311965
"SIDM00737"	"ACH-001362"	687804	24360	-0.674850103819753
"SIDM00769"	"ACH-000733"	687807	24360	0.69902586215919
"SIDM00709"	"ACH-000451"	687812	24360	0.583358632376548
"SIDM00716"	"ACH-000481"	687815	24360	-3.95603929657814
"SIDM00729"	"ACH-000447"	687816	24360	-2.71176156916643
"SIDM00727"	"ACH-000951"	687819	24360	-0.111112949985918
"SIDM00726"	"ACH-000875"	687820	24360	0.399736523130613
"SIDM00724"	"ACH-000121"	687821	24360	-0.542920237045248
"SIDM01122"	"ACH-000853"	687829	24360	-0.592774024927923
"SIDM00509"	"ACH-000187"	687980	24360	-4.50679079901755
"SIDM00865"	"ACH-000530"	687983	24360	-1.09639200213108
"SIDM00522"	"ACH-000749"	687985	24360	-2.64812156798798
"SIDM00654"	"ACH-000866"	687995	24360	-4.36610927704998
"SIDM00653"	"ACH-000514"	687997	24360	-0.636365034073999
"SIDM00741"	"ACH-000431"	688006	24360	-3.84245289221695
"SIDM00760"	"ACH-000729"	688010	24360	-3.2983366453273
"SIDM00735"	"ACH-000298"	688011	24360	-1.77079649803517
"SIDM00706"	"ACH-000290"	688013	24360	-5.4222008002475
"SIDM00699"	"ACH-001138"	688014	24360	-1.39816941804125
"SIDM00733"	"ACH-000525"	688015	24360	-4.03911945264313
"SIDM00730"	"ACH-000610"	688018	24360	-3.73359731617594
"SIDM00719"	"ACH-001364"	688021	24360	1.05761166825595
"SIDM00965"	"ACH-000800"	688023	24360	-2.29472947357314
"SIDM01128"	"ACH-000767"	688025	24360	-4.84568135339534
"SIDM01126"	"ACH-001599"	688026	24360	-0.276938911899575
"SIDM01121"	"ACH-000358"	688027	24360	-1.45620768951029
"SIDM01131"	"ACH-000355"	688031	24360	-2.79674704474611
