"Cell"	"Cell_BROAD"	"Cell_COSMIC"	"Drug"	"LN_IC50"
"SIDM00263"	"ACH-002106"	684057	176870	3.96681293189847
"SIDM00269"	"ACH-002108"	684059	176870	2.69209026814288
"SIDM00203"	"ACH-002111"	684062	176870	2.47799028176433
"SIDM01111"	"ACH-000087"	684072	176870	2.0335642972208
"SIDM00909"	"ACH-000644"	687448	176870	2.96600652579439
"SIDM00998"	"ACH-000137"	687562	176870	2.49394315228265
"SIDM00581"	"ACH-000738"	687568	176870	3.60324347286437
"SIDM01189"	"ACH-000075"	687590	176870	3.87567431278195
"SIDM01120"	"ACH-002174"	687600	176870	3.69421338978344
"SIDM00746"	"ACH-000766"	687799	176870	-3.1303150474521
"SIDM00745"	"ACH-000035"	687800	176870	3.66184263303417
"SIDM00737"	"ACH-001362"	687804	176870	3.25928223447741
"SIDM00769"	"ACH-000733"	687807	176870	2.3228375905977
"SIDM00865"	"ACH-000530"	687983	176870	3.92000621988311
"SIDM00653"	"ACH-000514"	687997	176870	3.68149579107029
"SIDM00741"	"ACH-000431"	688006	176870	3.29528834714321
"SIDM00767"	"ACH-001136"	688007	176870	3.41640149195929
"SIDM00760"	"ACH-000729"	688010	176870	2.76258305838335
"SIDM00706"	"ACH-000290"	688013	176870	1.70210991694473
"SIDM00699"	"ACH-001138"	688014	176870	3.15496106562238
"SIDM00733"	"ACH-000525"	688015	176870	2.62306543186529
"SIDM00730"	"ACH-000610"	688018	176870	3.44673528975197
"SIDM00719"	"ACH-001364"	688021	176870	4.17006801242043
"SIDM00965"	"ACH-000800"	688023	176870	3.04796531272224
"SIDM01128"	"ACH-000767"	688025	176870	2.72671658139536
"SIDM01126"	"ACH-001599"	688026	176870	2.62562285311696
"SIDM01121"	"ACH-000358"	688027	176870	3.97761654482537
"SIDM01131"	"ACH-000355"	688031	176870	1.84416741227419
"SIDM01100"	"ACH-000366"	688086	176870	3.1063356850438
"SIDM01099"	"ACH-000341"	688087	176870	3.11561480273272
"SIDM01179"	"ACH-001702"	688121	176870	3.05369543163273
"SIDM00293"	"ACH-002052"	713878	176870	3.69072243994979
"SIDM00365"	"ACH-002196"	713885	176870	3.40806705109017
"SIDM00921"	"ACH-000264"	724859	176870	3.00907459402234
"SIDM00547"	"ACH-000438"	724863	176870	2.81834472018313
"SIDM00645"	"ACH-000666"	724866	176870	0.954769926544561
"SIDM01078"	"ACH-000790"	724872	176870	2.91736960349601
"SIDM00347"	"ACH-000408"	735784	176870	0.560294139549348
"SIDM00885"	"ACH-000111"	749711	176870	2.9580642825352
"SIDM00877"	"ACH-000196"	749713	176870	2.7897145768371
"SIDM00774"	"ACH-000691"	749715	176870	1.41768469544828
"SIDM00772"	"ACH-000755"	749716	176870	3.5635445925212
"SIDM00172"	"ACH-002212"	753531	176870	-1.85269890924904
"SIDM00174"	"ACH-002213"	753532	176870	3.76612495969487
"SIDM00190"	"ACH-002097"	753546	176870	1.77015594284198
"SIDM00953"	"ACH-001049"	753547	176870	2.52641995564711
"SIDM00951"	"ACH-002222"	753548	176870	2.5115417144115
"SIDM00207"	"ACH-002230"	753549	176870	1.91644641291442
"SIDM00524"	"ACH-000703"	753551	176870	2.2232229806412
"SIDM00970"	"ACH-002235"	753552	176870	2.1559914779673
"SIDM00278"	"ACH-000305"	753555	176870	2.42248586031954
"SIDM00188"	"ACH-002139"	753558	176870	3.41552884917355
"SIDM00632"	"ACH-002247"	753563	176870	2.76535647098924
"SIDM00223"	"ACH-002144"	753564	176870	3.01870794899172
"SIDM00230"	"ACH-002145"	753565	176870	3.8716003120824
"SIDM00187"	"ACH-002150"	753577	176870	1.06593329819769
"SIDM00186"	"ACH-002151"	753578	176870	-0.0281561423501976
"SIDM00185"	"ACH-002152"	753579	176870	1.75734161574005
"SIDM00184"	"ACH-002153"	753581	176870	1.63982780772204
"SIDM00183"	"ACH-002154"	753582	176870	2.13057415652806
"SIDM00182"	"ACH-002265"	753583	176870	1.36922865446092
"SIDM00181"	"ACH-002266"	753584	176870	2.15140299268964
"SIDM00180"	"ACH-002155"	753585	176870	-1.80207727022347
"SIDM00296"	"ACH-002051"	753588	176870	4.01963121901887
"SIDM00292"	"ACH-002077"	753589	176870	4.19024953055151
"SIDM00339"	"ACH-000787"	753592	176870	1.7969005502246
"SIDM00245"	"ACH-001958"	753594	176870	1.81663001537542
"SIDM00053"	"ACH-002164"	753595	176870	1.79180188909102
"SIDM00516"	"ACH-002166"	753596	176870	3.50611693318099
"SIDM00650"	"ACH-002286"	753597	176870	4.67088200141541
"SIDM00648"	"ACH-002169"	753599	176870	3.21735155879875
"SIDM00927"	"ACH-000871"	753605	176870	3.43265454360983
"SIDM00391"	"ACH-000363"	753612	176870	3.77502036558815
"SIDM00249"	"ACH-000353"	753614	176870	0.97762229659783
"SIDM00417"	"ACH-000626"	753615	176870	3.03423398702819
"SIDM01229"	"ACH-002217"	753616	176870	2.17658776569659
"SIDM01009"	"ACH-000259"	753618	176870	2.96130960339859
"SIDM00395"	"ACH-000099"	753620	176870	3.38108755167779
"SIDM00369"	"ACH-000647"	753621	176870	-1.39548322745782
"SIDM00349"	"ACH-000318"	753622	176870	1.30543565191961
"SIDM00326"	"ACH-000452"	753623	176870	1.84116420399296
"SIDM00829"	"ACH-000002"	905938	176870	3.34904092235974
"SIDM00791"	"ACH-000551"	905940	176870	2.66018309802821
"SIDM00139"	"ACH-000367"	905941	176870	3.01635237077373
"SIDM00138"	"ACH-000900"	905942	176870	3.14525381540262
"SIDM00121"	"ACH-001738"	905952	176870	2.72559625103596
"SIDM00082"	"ACH-001190"	905955	176870	3.39400083878426
"SIDM00145"	"ACH-001127"	905958	176870	2.36374005778347
"SIDM00087"	"ACH-000817"	905964	176870	2.90139532040222
"SIDM00096"	"ACH-000338;ACH-000338"	905965	176870	2.61789300490328
"SIDM00117"	"ACH-000837"	905967	176870	1.1344680669463
"SIDM00119"	"ACH-000706"	905970	176870	-1.09731835691225
"SIDM00118"	"ACH-001081"	905971	176870	3.1069120248498
"SIDM00133"	"ACH-000861"	905972	176870	2.75432779229523
"SIDM00149"	"ACH-000750"	905974	176870	3.29785411062394
"SIDM00108"	"ACH-000579"	905977	176870	3.1289736509688
"SIDM00086"	"ACH-002195"	905978	176870	2.25868864712866
"SIDM00113"	"ACH-001208"	905980	176870	-0.273488220813039
"SIDM00095"	"ACH-000504"	905982	176870	3.99227828249299
"SIDM00083"	"ACH-000273"	905984	176870	2.47003888280877
"SIDM00085"	"ACH-000655"	905986	176870	3.43731043910913
"SIDM00150"	"ACH-000969"	905989	176870	2.7895179153844
"SIDM00092"	"ACH-000617"	905990	176870	1.16288328637796
"SIDM00490"	"ACH-001016"	906746	176870	1.37154539723434
"SIDM01245"	"ACH-002216"	906763	176870	2.59851851153875
"SIDM00900"	"ACH-002210"	906765	176870	2.84126939573348
"SIDM00796"	"ACH-000740"	906794	176870	0.164269646403842
"SIDM01076"	"ACH-000070"	906800	176870	0.742839151199368
"SIDM00506"	"ACH-000508"	906808	176870	4.01987310795511
"SIDM00954"	"ACH-001820"	906812	176870	3.69203403304971
"SIDM00515"	"ACH-000401"	906813	176870	3.06982904307347
"SIDM00845"	"ACH-000786"	906831	176870	2.3430658427238
"SIDM00886"	"ACH-000334"	906832	176870	3.15735942916487
"SIDM00888"	"ACH-000055"	906834	176870	2.59313791012847
"SIDM00949"	"ACH-000233"	906836	176870	2.5642697267229
"SIDM00948"	"ACH-002232"	906838	176870	3.33926874207495
"SIDM00281"	"ACH-002100"	906841	176870	1.03780286991431
"SIDM00981"	"ACH-000056"	906842	176870	1.55435361139815
"SIDM01001"	"ACH-000258"	906844	176870	2.9226976024063
"SIDM00863"	"ACH-001064"	906846	176870	2.69589787513563
"SIDM00793"	"ACH-002236"	906847	176870	3.29763269369798
"SIDM00279"	"ACH-000225"	906849	176870	-2.27208495583308
"SIDM01049"	"ACH-000038"	906854	176870	3.97946928934133
"SIDM01047"	"ACH-000295"	906855	176870	3.12659820574987
"SIDM00277"	"ACH-000198"	906856	176870	2.73589078714572
"SIDM00276"	"ACH-002237"	906861	176870	1.14829460250169
"SIDM01042"	"ACH-001065"	906862	176870	2.8147665026125
"SIDM00274"	"ACH-000047"	906869	176870	-0.0370470950734432
"SIDM01057"	"ACH-000081"	906870	176870	3.70923426160517
"SIDM00273"	"ACH-000756"	906871	176870	2.81531388483123
"SIDM00227"	"ACH-001344"	906872	176870	2.4870204568218
