Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.335	1.529	0.832	0.794	17942.635	8.673	2.961	0.373	0.365	427.467
2	False	1.748	1.321	0.875	0.845	17896.781	9.417	3.084	0.316	0.341	292.93
3	False	1.638	1.28	0.883	0.854	17445.111	10.015	3.183	0.344	0.343	509.737
4	False	1.608	1.262	0.887	0.858	17217.066	9.988	3.179	0.317	0.327	289.408
5	False	1.559	1.248	0.89	0.861	17577.973	10.192	3.21	0.355	0.335	500.641
6	False	1.518	1.231	0.893	0.864	16903.205	8.621	2.951	0.34	0.339	292.164
7	False	1.505	1.225	0.894	0.865	14957.472	8.661	2.958	0.314	0.312	653.273
8	False	1.496	1.223	0.894	0.866	14825.356	8.971	3.012	0.359	0.345	414.445
9	False	1.465	1.21	0.896	0.868	14225.137	8.36	2.906	0.357	0.35	424.431
10	False	1.446	1.202	0.898	0.87	14767.103	9.889	3.163	0.346	0.36	459.037
11	False	1.441	1.201	0.898	0.871	15226.146	9.973	3.177	0.331	0.36	332.438
12	False	1.431	1.194	0.899	0.872	11709.1	8.422	2.917	0.361	0.363	241.065
13	False	1.439	1.197	0.899	0.871	10413.757	9.787	3.147	0.346	0.376	297.181
14	False	1.418	1.192	0.9	0.873	11412.366	9.344	3.075	0.373	0.363	225.865
15	False	1.406	1.186	0.901	0.874	11542.897	8.843	2.99	0.364	0.358	312.066
16	False	1.389	1.179	0.902	0.875	11475.024	8.54	2.939	0.365	0.376	241.87
17	False	1.386	1.178	0.902	0.875	11435.022	8.379	2.91	0.393	0.371	373.411
18	False	1.389	1.179	0.902	0.875	10820.381	8.533	2.937	0.37	0.369	255.461
19	True	1.377	1.173	0.903	0.877	8937.912	9.26	3.06	0.387	0.37	353.064
