Step,Time
Train_Sum,293582.73126220703
Train_Mean,12764.466576617697
Valid,133.56105041503906
Test,147.50437927246094
Train_Epoch1,17684.884475708008
Train_Epoch2,17130.597534179688
Train_Epoch3,15732.0263671875
Train_Epoch4,12964.385498046875
Train_Epoch5,14571.865753173828
Train_Epoch6,13935.149200439453
Train_Epoch7,17135.672424316406
Train_Epoch8,17142.221405029297
Train_Epoch9,17224.363739013672
Train_Epoch10,17691.498931884766
Train_Epoch11,17000.319274902344
Train_Epoch12,13845.983413696289
Train_Epoch13,12056.804992675781
Train_Epoch14,10524.129180908203
Train_Epoch15,9836.607055664062
Train_Epoch16,9734.194610595703
Train_Epoch17,10323.438980102539
Train_Epoch18,11158.008911132812
Train_Epoch19,11092.505859375
Train_Epoch20,9372.663223266602
Train_Epoch21,7553.436218261719
Train_Epoch22,5999.507171630859
Train_Epoch23,3872.467041015625
