fold,Drug,n_cell_lines,within_drug_PCC,within_drug_SCC
0,10113978,546,0.2722,0.1962
0,11234052,575,0.4685,0.4098
0,11655119,551,0.5303,0.5301
0,131634760,475,0.5117,0.4841
0,135423438,575,0.3387,0.2640
0,176158,589,0.5537,0.5203
0,36462,552,0.5369,0.5323
0,444795,580,0.4704,0.4325
0,49806720,571,0.4278,0.5097
0,51001932,589,0.3824,0.3826
0,5280757,547,0.2977,0.3118
0,5291,207,0.5364,0.6236
0,6918878,549,0.3395,0.3224
0,71297207,585,0.3409,0.3176
0,71522234,478,0.5014,0.4735
0,8249,565,0.3927,0.3042
0,9549297,575,0.4828,0.4601
1,10200390,548,0.4212,0.3860
1,10302451,207,0.0652,0.0531
1,11152667,591,0.5663,0.5132
1,11364421,576,0.5717,0.6161
1,176870,588,0.2670,0.3193
1,216239,588,0.5787,0.5998
1,24772860,569,0.4998,0.4723
1,42642645,592,0.4860,0.4674
1,44259,589,0.3788,0.3883
1,46224516,591,0.6483,0.5846
1,46885626,543,0.5517,0.4502
1,4993,204,0.3071,0.3383
1,5278396,591,0.5892,0.5705
1,5329102,205,0.4374,0.3923
1,5746,548,0.2656,0.2710
1,71496458,584,0.2855,0.3523
1,73707530,566,0.4582,0.3994
2,104842,591,0.5559,0.5904
2,11485656,573,0.6051,0.6212
2,1401,591,0.4857,0.5518
2,2375,588,0.4243,0.4362
2,24821094,552,0.3394,0.3793
2,2733526,591,0.5910,0.5636
2,3062316,588,0.2258,0.1417
2,36314,587,0.6528,0.6442
2,444732,569,0.2611,0.2773
2,49846579,592,0.7075,0.6806
2,5978,475,0.4734,0.4256
2,643462,477,0.2811,0.2612
2,9810884,572,0.6850,0.6217
2,9910224,573,0.6631,0.6930
2,9911830,572,0.6454,0.6839
2,9933475,585,0.4481,0.4320
2,9936746,552,0.5723,0.5215
3,11338033,562,0.4497,0.4104
3,156414,573,0.2025,0.2687
3,156422,591,0.4592,0.4579
3,24753719,553,0.5915,0.5227
3,24978538,591,0.4666,0.3685
3,25102847,572,0.3800,0.3360
3,46893585,573,0.3673,0.3537
3,46926350,552,0.5415,0.6273
3,57339144,554,0.5434,0.5243
3,60838,588,0.6027,0.5978
3,6253,588,0.4659,0.4392
3,6505803,591,-0.0404,-0.0112
3,657237,478,0.5588,0.4977
3,71748056,570,0.2977,0.2742
3,864,493,0.5726,0.5477
3,9826308,204,0.1541,0.1793
3,9868037,572,0.5247,0.4454
4,11634725,592,0.3748,0.3732
4,11713159,543,0.3872,0.3768
4,11960529,590,0.7110,0.6727
4,16725726,571,0.5071,0.4699
4,24889392,573,0.5775,0.5782
4,25124816,592,0.4839,0.5023
4,3218,550,0.3337,0.3159
4,51371303,580,0.3972,0.3834
