Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.238	1.496	0.848	0.809	23331.166	4.971	2.25	0.694	0.554	2363.561
2	False	1.592	1.262	0.891	0.861	22450.502	6.619	2.596	0.693	0.57	2330.567
3	False	1.486	1.219	0.899	0.869	22502.209	5.908	2.442	0.682	0.572	2581.312
4	False	1.418	1.191	0.904	0.875	22302.789	5.177	2.288	0.706	0.579	2392.612
5	False	1.391	1.179	0.906	0.878	21965.906	4.82	2.207	0.69	0.573	2293.355
6	False	1.364	1.168	0.908	0.881	21568.961	4.304	2.082	0.712	0.599	2225.053
7	False	1.325	1.151	0.91	0.883	22198.816	4.174	2.057	0.716	0.599	2258.599
8	False	1.315	1.147	0.911	0.885	22190.312	4.42	2.118	0.716	0.599	2155.89
9	False	1.284	1.133	0.913	0.888	22190.529	5.402	2.342	0.703	0.591	2220.018
10	False	1.264	1.124	0.915	0.889	22509.852	5.175	2.285	0.693	0.568	2208.45
11	False	1.242	1.115	0.916	0.891	22149.59	4.521	2.137	0.693	0.584	2366.517
12	False	1.217	1.103	0.918	0.893	20604.74	5.155	2.287	0.694	0.582	2334.441
13	False	1.199	1.095	0.919	0.895	20486.365	5.526	2.364	0.691	0.579	2362.845
14	False	1.169	1.081	0.921	0.898	20359.002	4.323	2.082	0.701	0.591	2321.529
15	False	1.149	1.072	0.923	0.9	20024.174	4.563	2.15	0.703	0.582	2262.565
16	False	1.131	1.064	0.924	0.901	19769.102	4.674	2.17	0.694	0.586	2324.096
17	True	1.121	1.059	0.925	0.903	20278.918	4.998	2.237	0.667	0.556	1991.506
