fold,Drug,n_cell_lines,within_drug_PCC,within_drug_SCC
0,10113978,546,0.2351,0.1745
0,11234052,575,0.4845,0.4441
0,11655119,551,0.5024,0.4846
0,131634760,475,0.5995,0.5726
0,135423438,575,0.3137,0.2867
0,176158,589,0.6193,0.5909
0,36462,552,0.5357,0.5222
0,444795,580,0.4427,0.4455
0,49806720,571,0.4695,0.5380
0,51001932,589,0.3793,0.3684
0,5280757,547,0.2939,0.3066
0,5291,207,0.4629,0.5639
0,6918878,549,0.3864,0.3665
0,71297207,585,0.3544,0.3237
0,71522234,478,0.5110,0.4706
0,8249,565,0.3839,0.3157
0,9549297,575,0.4662,0.4417
1,10200390,548,0.4803,0.4275
1,10302451,207,0.1967,0.1883
1,11152667,591,0.5998,0.5444
1,11364421,576,0.6097,0.6056
1,176870,588,0.4398,0.4507
1,216239,588,0.6665,0.6412
1,24772860,569,0.5404,0.5296
1,42642645,592,0.5599,0.5390
1,44259,589,0.6074,0.5889
1,46224516,591,0.6319,0.6113
1,46885626,543,0.5571,0.4899
1,4993,204,0.3461,0.3591
1,5278396,591,0.6313,0.5945
1,5329102,205,0.5803,0.5164
1,5746,548,0.4786,0.4906
1,71496458,584,0.5393,0.5482
1,73707530,566,0.4162,0.3909
2,104842,591,0.6913,0.7095
2,11485656,573,0.5676,0.5897
2,1401,591,0.4690,0.5136
2,2375,588,0.3952,0.4006
2,24821094,552,0.4736,0.5146
2,2733526,591,0.5413,0.5065
2,3062316,588,0.3675,0.3119
2,36314,587,0.7363,0.7251
2,444732,569,0.3566,0.3791
2,49846579,592,0.7443,0.6598
2,5978,475,0.6881,0.6843
2,643462,477,0.5393,0.5159
2,9810884,572,0.6047,0.5613
2,9910224,573,0.6438,0.6651
2,9911830,572,0.6490,0.6706
2,9933475,585,0.5271,0.5203
2,9936746,552,0.5814,0.5289
3,11338033,562,0.3962,0.4059
3,156414,573,0.3408,0.3351
3,156422,591,0.4960,0.4561
3,24753719,553,0.5367,0.4977
3,24978538,591,0.2920,0.2938
3,25102847,572,0.5504,0.5014
3,46893585,573,0.4445,0.4104
3,46926350,552,0.6086,0.6682
3,57339144,554,0.5871,0.5923
3,60838,588,0.6249,0.6327
3,6253,588,0.6371,0.6303
3,6505803,591,0.3807,0.3631
3,657237,478,0.5800,0.5970
3,71748056,570,0.4368,0.4327
3,864,493,0.6050,0.5801
3,9826308,204,0.5103,0.5600
3,9868037,572,0.4310,0.3827
4,11634725,592,0.4301,0.4346
4,11713159,543,0.4465,0.4273
4,11960529,590,0.7023,0.6694
4,16725726,571,0.5265,0.5006
4,24889392,573,0.5816,0.6028
4,25124816,592,0.5301,0.5262
4,3218,550,0.3200,0.2955
4,51371303,580,0.4030,0.3985
4,5287969,568,0.4647,0.4932
4,52912189,554,0.3913,0.3550
4,57345410,586,0.7466,0.7254
4,6445533,548,0.4104,0.4099
4,6852167,572,0.5710,0.5340
4,6918837,566,0.4828,0.5154
4,9813758,590,0.7513,0.7570
4,9884685,564,0.4759,0.4578
4,992586,494,0.3946,0.3778
5,1018,553,0.6531,0.6174
5,11404337,582,0.5904,0.6159
5,11455910,584,0.3453,0.3468
5,11667893,591,0.6291,0.6324
5,123631,591,0.4553,0.4979
5,135421339,591,0.3250,0.3619
5,208908,589,0.6051,0.5966
5,25254071,567,0.3781,0.4113
5,387447,588,0.4753,0.4200
5,446378,537,0.3118,0.3042
5,446541,489,0.4956,0.4687
5,462382,590,0.2007,0.1674
5,5328940,590,0.5299,0.5064
5,54761306,591,0.4520,0.4163
5,56962336,588,0.7791,0.7604
5,6914657,568,0.3819,0.3846
6,10184653,591,0.3491,0.5024
6,11327430,591,0.6285,0.6282
6,11624601,590,0.5522,0.5407
6,11626560,589,0.6111,0.6648
6,148124,591,0.6549,0.6492
6,2332,478,0.5093,0.4936
6,24771867,591,0.6111,0.5846
6,25099184,553,0.5880,0.5634
6,4212,478,0.6548,0.6250
6,4261,566,0.5962,0.5794
6,46907787,591,0.6624,0.6130
6,49850262,571,0.6412,0.6013
6,5311,591,0.6032,0.5520
6,5330286,591,0.5525,0.5080
6,53340666,575,0.5170,0.5266
6,59472121,553,0.6205,0.5914
7,10172943,205,0.2100,0.1750
7,11433190,591,0.5655,0.5571
7,117072552,579,0.5135,0.4950
7,11719003,587,0.5101,0.4906
7,15953870,581,0.4083,0.3951
7,160355,203,0.2695,0.2660
7,24826799,552,0.4535,0.3671
7,24856436,589,0.4443,0.4445
7,25126798,590,0.5025,0.5066
7,46006640,570,0.4019,0.3549
7,51000408,577,0.7397,0.7033
7,644241,590,0.5374,0.5499
7,66577038,576,0.6128,0.6035
7,6918638,555,0.5787,0.6654
7,76044,205,0.3557,0.3705
7,9444,492,0.6844,0.6507
8,104741,591,0.5539,0.5655
8,11228183,584,0.5354,0.4527
8,11493598,573,0.5447,0.5225
8,124886,490,0.5282,0.4926
8,16722836,573,0.4779,0.4197
8,17755052,591,0.4711,0.4567
8,442972,203,0.5742,0.5754
8,46943432,590,0.6825,0.5977
8,5113032,570,0.6083,0.6113
8,5284616,584,0.4076,0.3890
8,53315878,542,0.5304,0.5847
8,5494449,288,0.6095,0.5731
8,56941241,585,0.4891,0.4774
8,58423153,586,0.5423,0.5256
8,68740,478,0.6898,0.6721
8,70676303,574,0.4630,0.4578
9,118693659,477,0.6109,0.5293
9,11977753,591,0.4528,0.4475
9,126941,589,0.5435,0.4551
9,216326,590,0.7105,0.6687
9,24180719,591,0.4474,0.4678
9,24776445,590,0.7142,0.6829
9,24958200,553,0.7389,0.6941
9,31703,589,0.5558,0.5486
9,447912,569,0.6435,0.6449
9,46843057,585,0.4702,0.4643
9,6445562,572,0.5123,0.4944
9,6450551,591,0.6765,0.6653
9,71576693,285,0.4802,0.4363
9,82146,544,0.2701,0.2480
